 07/30-09:50	2158.800	2159.200	2155.000	2156.600	           3270	     35.000	   2162.408	   2155.798	   2147.499	   2148.074	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -5.808	      0.000	      0.000	      0.000	
 07/30-09:51	2155.600	2157.400	2155.000	2156.000	           2640	     36.000	   2162.313	   2156.065	   2147.699	   2148.100	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -6.313	      0.000	      0.000	      0.000	
 07/30-09:52	2156.000	2161.600	2154.800	2161.600	           4532	     37.000	   2162.417	   2156.431	   2147.944	   2148.138	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -0.817	      0.000	      0.000	      0.000	
 07/30-09:53	2161.800	2162.400	2159.600	2160.000	           4821	     38.000	   2162.442	   2156.748	   2148.164	   2148.168	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -2.442	      0.000	      0.000	      0.000	
 07/30-09:54	2159.600	2162.200	2159.200	2159.200	           2883	     39.000	   2162.371	   2157.044	   2148.372	   2148.198	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.171	      0.000	      0.000	      0.000	
 07/30-09:55	2159.400	2161.200	2158.200	2158.600	           2397	     40.000	   2162.379	   2157.323	   2148.510	   2148.229	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.779	      0.000	      0.000	      0.000	
 07/30-09:56	2158.600	2159.600	2157.000	2157.600	           2184	     41.000	   2162.075	   2157.583	   2148.627	   2148.252	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.475	      0.000	      0.000	      0.000	
 07/30-09:57	2157.600	2157.600	2156.200	2157.000	           2351	     42.000	   2161.700	   2157.833	   2148.749	   2148.225	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.700	      0.000	      0.000	      0.000	
 07/30-09:58	2156.800	2156.800	2152.800	2155.600	           5749	     43.000	   2161.229	   2158.077	   2148.852	   2148.207	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -5.629	      0.000	      0.000	      0.000	
 07/30-09:59	2155.800	2156.200	2154.000	2154.200	           2067	     44.000	   2160.733	   2158.296	   2148.943	   2148.183	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -6.533	      0.000	      0.000	      0.000	
 07/30-10:00	2154.000	2156.600	2153.800	2154.200	           2553	     45.000	   2160.296	   2158.500	   2149.036	   2148.158	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -6.096	      0.000	      0.000	      0.000	
 07/30-10:01	2154.200	2154.800	2151.800	2152.000	           4322	     46.000	   2159.779	   2158.644	   2149.125	   2148.132	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -7.779	      0.000	      0.000	      0.000	
 07/30-10:02	2152.400	2153.400	2151.800	2151.800	           2309	     47.000	   2159.225	   2158.767	   2149.211	   2148.110	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -7.425	      0.000	      0.000	      0.000	
 07/30-10:03	2151.800	2152.000	2150.000	2150.800	           4294	     48.000	   2158.663	   2158.867	   2149.294	   2148.086	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -7.863	      0.000	      0.000	      1.000	
 07/30-10:04	2150.400	2154.200	2150.200	2153.400	           3672	     49.000	   2158.375	   2159.021	   2149.399	   2148.073	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.975	      0.000	      0.000	      0.000	
 07/30-10:05	2153.400	2154.200	2151.000	2152.200	           3196	     50.000	   2158.058	   2159.142	   2149.498	   2148.056	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -5.858	      0.000	      0.000	      0.000	
 07/30-10:06	2152.200	2154.800	2152.000	2154.000	           3176	     51.000	   2157.817	   2159.300	   2149.618	   2148.058	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.817	      0.000	      0.000	      0.000	
 07/30-10:07	2153.800	2154.000	2151.400	2151.800	           1983	     52.000	   2157.446	   2159.398	   2149.719	   2148.059	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -5.646	      0.000	      0.000	      0.000	
 07/30-10:08	2152.000	2153.200	2152.000	2153.000	           1379	     53.000	   2157.129	   2159.421	   2149.822	   2148.065	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.129	      0.000	      0.000	      0.000	
 07/30-10:09	2153.000	2153.000	2151.000	2151.200	           2176	     54.000	   2156.679	   2159.396	   2149.893	   2148.062	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -5.479	      0.000	      0.000	      0.000	
 07/30-10:10	2151.600	2153.000	2149.000	2149.400	           3437	     55.000	   2156.129	   2159.304	   2149.974	   2148.054	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -6.729	      0.000	      0.000	      0.000	
 07/30-10:11	2149.200	2154.600	2149.000	2154.200	           4798	     56.000	   2155.867	   2159.233	   2150.092	   2148.079	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -1.667	      0.000	      0.000	      0.000	
 07/30-10:12	2154.200	2155.000	2153.800	2153.800	           3043	     57.000	   2155.629	   2159.175	   2150.207	   2148.086	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -1.829	      0.000	      0.000	      0.000	
 07/30-10:13	2153.800	2154.200	2151.000	2151.000	           2313	     58.000	   2155.300	   2159.017	   2150.313	   2148.066	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.300	      0.000	      0.000	      0.000	
 07/30-10:14	2150.800	2152.600	2150.600	2151.200	           1895	     59.000	   2155.025	   2158.867	   2150.409	   2148.043	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.825	      0.000	      0.000	      0.000	
 07/30-10:15	2151.200	2152.000	2146.000	2146.800	           6312	     60.000	   2154.529	   2158.587	   2150.477	   2147.999	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -7.729	      0.000	      0.000	      0.000	
 07/30-10:16	2147.000	2150.400	2147.000	2150.400	           3774	     61.000	   2154.300	   2158.438	   2150.544	   2147.973	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -3.900	      0.000	      0.000	      0.000	
 07/30-10:17	2149.600	2150.200	2144.800	2146.800	           4850	     62.000	   2153.979	   2158.229	   2150.598	   2147.933	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -7.179	      0.000	      0.000	      0.000	
 07/30-10:18	2146.800	2147.200	2144.600	2145.400	           3565	     63.000	   2153.613	   2157.996	   2150.642	   2147.900	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -8.213	      0.000	      0.000	      0.000	
 07/30-10:19	2145.600	2147.400	2145.400	2147.200	           2394	     64.000	   2153.233	   2157.844	   2150.694	   2147.878	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -6.033	      0.000	      0.000	      0.000	
 07/30-10:20	2147.400	2148.800	2146.000	2148.800	           2684	     65.000	   2152.971	   2157.690	   2150.756	   2147.865	           	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	     -4.171	      0.000	      0.000	      0.000	
