 05/21-09:39	2595.400	2596.200	2593.600	2593.600	           2228	   2596.104	   2595.927	   2598.575	   2597.819	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2596.600	   2596.104	   2595.927	   2598.575	   2597.819	     -4.219	     -2.000	     -2.000	      0.000	   2596.600	   2596.104	   2595.927	   2598.575	   2597.819	     -4.219	     -2.000	     -2.000	      0.000	   2596.600	   2596.104	   2595.927	   2598.575	   2597.819	     -4.219	     -2.000	     -2.000	      0.000	   2596.600	   2596.104	   2595.927	   2598.575	   2597.819	     -4.219	     -2.000	     -2.000	      0.000	
 05/21-09:40	2593.600	2594.800	2592.600	2593.000	           2750	   2596.071	   2595.746	   2598.520	   2597.877	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2595.525	   2596.071	   2595.746	   2598.520	   2597.877	     -4.877	     -2.000	     -2.000	      0.000	   2595.525	   2596.071	   2595.746	   2598.520	   2597.877	     -4.877	     -2.000	     -2.000	      0.000	   2595.525	   2596.071	   2595.746	   2598.520	   2597.877	     -4.877	     -2.000	     -2.000	      0.000	   2595.525	   2596.071	   2595.746	   2598.520	   2597.877	     -4.877	     -2.000	     -2.000	      0.000	
 05/21-09:41	2593.200	2594.200	2591.600	2592.800	           2535	   2596.042	   2595.558	   2598.462	   2597.934	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2594.600	   2596.042	   2595.558	   2598.462	   2597.934	     -5.134	     -2.000	     -2.000	      0.000	   2594.600	   2596.042	   2595.558	   2598.462	   2597.934	     -5.134	     -2.000	     -2.000	      0.000	   2594.600	   2596.042	   2595.558	   2598.462	   2597.934	     -5.134	     -2.000	     -2.000	      0.000	   2594.600	   2596.042	   2595.558	   2598.462	   2597.934	     -5.134	     -2.000	     -2.000	      0.000	
 05/21-09:42	2593.200	2593.400	2591.400	2591.800	           2423	   2595.975	   2595.433	   2598.372	   2597.979	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      1.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2593.325	   2595.975	   2595.433	   2598.372	   2597.979	     -6.178	     -2.000	     -2.000	      0.000	   2593.325	   2595.975	   2595.433	   2598.372	   2597.979	     -6.178	     -2.000	     -2.000	      0.000	   2593.325	   2595.975	   2595.433	   2598.372	   2597.979	     -6.178	     -2.000	     -2.000	      0.000	   2593.325	   2595.975	   2595.433	   2598.372	   2597.979	     -6.178	     -2.000	     -2.000	      0.000	
 05/21-09:43	2592.000	2593.800	2592.000	2592.800	           1849	   2595.958	   2595.346	   2598.284	   2598.026	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.800	   2595.958	   2595.346	   2598.284	   2598.026	     -5.226	     -2.000	     -2.000	      0.000	   2592.800	   2595.958	   2595.346	   2598.284	   2598.026	     -5.226	     -2.000	     -2.000	      0.000	   2592.800	   2595.958	   2595.346	   2598.284	   2598.026	     -5.226	     -2.000	     -2.000	      0.000	   2592.800	   2595.958	   2595.346	   2598.284	   2598.026	     -5.226	     -2.000	     -2.000	      0.000	
 05/21-09:44	2592.600	2594.400	2591.400	2594.200	           2148	   2595.975	   2595.294	   2598.214	   2598.091	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.925	   2595.975	   2595.294	   2598.214	   2598.091	     -3.891	     -2.000	     -2.000	      0.000	   2592.925	   2595.975	   2595.294	   2598.214	   2598.091	     -3.891	     -2.000	     -2.000	      0.000	   2592.925	   2595.975	   2595.294	   2598.214	   2598.091	     -3.891	     -2.000	     -2.000	      0.000	   2592.925	   2595.975	   2595.294	   2598.214	   2598.091	     -3.891	     -2.000	     -2.000	      0.000	
 05/21-09:45	2594.200	2594.200	2590.600	2591.200	           2761	   2595.887	   2595.217	   2598.141	   2598.144	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.575	   2595.887	   2595.217	   2598.141	   2598.144	     -6.944	     -2.000	     -2.000	     -1.000	   2592.575	   2595.887	   2595.217	   2598.141	   2598.144	     -6.944	     -2.000	     -2.000	     -1.000	   2592.575	   2595.887	   2595.217	   2598.141	   2598.144	     -6.944	     -2.000	     -2.000	     -1.000	   2592.575	   2595.887	   2595.217	   2598.141	   2598.144	     -6.944	     -2.000	     -2.000	     -1.000	
 05/21-09:46	2591.000	2593.000	2590.200	2592.600	           2764	   2595.733	   2595.133	   2598.087	   2598.205	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      1.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.500	   2595.733	   2595.133	   2598.087	   2598.205	     -5.604	     -2.000	     -2.000	     -1.000	   2592.500	   2595.733	   2595.133	   2598.087	   2598.205	     -5.604	     -2.000	     -2.000	     -1.000	   2592.500	   2595.733	   2595.133	   2598.087	   2598.205	     -5.604	     -2.000	     -2.000	     -1.000	   2592.500	   2595.733	   2595.133	   2598.087	   2598.205	     -5.604	     -2.000	     -2.000	     -1.000	
 05/21-09:47	2592.800	2593.600	2592.200	2593.200	           1715	   2595.600	   2595.056	   2598.065	   2598.267	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.800	   2595.600	   2595.056	   2598.065	   2598.267	     -5.067	     -2.000	     -2.000	     -1.000	   2592.800	   2595.600	   2595.056	   2598.065	   2598.267	     -5.067	     -2.000	     -2.000	     -1.000	   2592.800	   2595.600	   2595.056	   2598.065	   2598.267	     -5.067	     -2.000	     -2.000	     -1.000	   2592.800	   2595.600	   2595.056	   2598.065	   2598.267	     -5.067	     -2.000	     -2.000	     -1.000	
 05/21-09:48	2593.200	2593.800	2592.200	2593.400	           1221	   2595.454	   2595.050	   2598.053	   2598.321	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	     10.000	      0.000	      0.000	      0.000	      0.000	   2592.925	   2595.454	   2595.050	   2598.053	   2598.321	     -4.921	     -2.000	     -2.000	     -1.000	   2592.925	   2595.454	   2595.050	   2598.053	   2598.321	     -4.921	     -2.000	     -2.000	     -1.000	   2592.925	   2595.454	   2595.050	   2598.053	   2598.321	     -4.921	     -2.000	     -2.000	     -1.000	   2592.925	   2595.454	   2595.050	   2598.053	   2598.321	     -4.921	     -2.000	     -2.000	     -1.000	
