 05/10-09:45	2524.800	2542.200	2523.800	2541.200	          12306	   2516.886	   2520.043	   2516.828	           	
 05/10-09:46	2541.200	2542.400	2533.600	2536.400	          10470	   2517.593	   2520.310	   2517.030	           	
 05/10-09:47	2536.000	2539.800	2535.000	2539.800	           4060	   2518.367	   2520.624	   2517.247	           	
 05/10-09:48	2540.000	2541.400	2536.600	2540.000	           5150	   2519.141	   2520.940	   2517.455	           	
 05/10-09:49	2539.800	2539.800	2535.600	2536.400	           3575	   2519.847	   2521.180	   2517.640	           	
 05/10-09:50	2535.400	2537.800	2533.000	2533.600	           4306	   2520.474	   2521.347	   2517.803	           	
 05/10-09:51	2534.000	2535.000	2530.000	2531.000	           6282	   2521.053	   2521.504	   2517.943	           	
 05/10-09:52	2532.000	2534.600	2531.400	2533.200	           2399	   2521.833	   2521.723	   2518.107	           	
 05/10-09:53	2533.400	2533.800	2529.200	2532.600	           3406	   2522.559	   2521.906	   2518.273	           	
 05/10-09:54	2532.800	2536.600	2531.800	2534.000	           3749	   2523.379	   2522.106	   2518.422	           	
 05/10-09:55	2534.600	2536.400	2533.000	2535.600	           2679	   2524.188	   2522.310	   2518.577	           	
 05/10-09:56	2536.000	2537.800	2533.200	2535.800	           4093	   2525.073	   2522.493	   2518.735	           	
 05/10-09:57	2535.800	2536.400	2533.000	2534.000	           3081	   2525.800	   2522.653	   2518.878	           	
 05/10-09:58	2534.400	2536.200	2533.400	2535.000	           2350	   2526.586	   2522.830	   2519.040	           	
 05/10-09:59	2535.000	2538.600	2534.800	2536.800	           4758	   2527.427	   2523.047	   2519.223	           	
 05/10-10:00	2536.600	2545.000	2536.600	2537.000	          10128	   2528.233	   2523.273	   2519.413	           	
 05/10-10:01	2537.400	2539.400	2537.000	2537.800	           4339	   2529.000	   2523.483	   2519.616	           	
 05/10-10:02	2537.800	2537.800	2535.000	2536.800	           3837	   2529.773	   2523.653	   2519.830	           	
 05/10-10:03	2537.000	2537.200	2535.200	2536.600	           1837	   2530.547	   2523.830	   2520.047	           	
 05/10-10:04	2536.600	2539.000	2535.600	2536.800	           2390	   2531.253	   2524.007	   2520.270	           	
