 10/11-10:16	2469.000	2469.600	2465.400	2466.400	           5516	     61.000	           	           	   2457.180	   2449.173	   2438.468	           	           	      0.807	      0.360	      0.548	      0.000	
 10/11-10:17	2466.400	2466.400	2464.000	2464.600	           4114	     62.000	           	           	   2457.867	   2449.517	   2438.730	           	           	      0.687	      0.343	      0.537	      0.000	
 10/11-10:18	2464.400	2464.600	2462.000	2462.200	           5170	     63.000	           	           	   2458.373	   2449.810	   2438.968	           	           	      0.506	      0.293	      0.500	      0.000	
 10/11-10:19	2462.000	2464.200	2461.600	2464.200	           2858	     64.000	           	           	   2458.900	   2450.167	   2439.227	           	           	      0.527	      0.357	      0.497	      0.000	
 10/11-10:20	2464.200	2468.800	2463.600	2464.400	           5773	     65.000	           	           	   2459.307	   2450.504	   2439.485	           	           	      0.407	      0.337	      0.517	      0.000	
 10/11-10:21	2464.600	2466.600	2462.200	2462.400	           2922	     66.000	           	           	   2459.586	   2450.860	   2439.743	           	           	      0.279	      0.356	      0.516	      0.000	
 10/11-10:22	2463.000	2465.000	2462.600	2464.600	           1904	     67.000	           	           	   2459.988	   2451.244	   2440.027	           	           	      0.401	      0.384	      0.542	      0.000	
 10/11-10:23	2464.600	2466.400	2463.000	2463.400	           2435	     68.000	           	           	   2460.359	   2451.596	   2440.298	           	           	      0.372	      0.353	      0.555	      0.000	
 10/11-10:24	2463.400	2464.800	2462.800	2463.400	           2023	     69.000	           	           	   2460.560	   2451.967	   2440.565	           	           	      0.201	      0.371	      0.538	      0.000	
 10/11-10:25	2463.600	2465.000	2462.400	2463.200	           2330	     70.000	           	           	   2460.774	   2452.320	   2440.853	           	           	      0.214	      0.353	      0.555	      0.000	
 10/11-10:26	2463.400	2463.600	2461.000	2461.000	           3231	     71.000	           	           	   2461.041	   2452.607	   2441.134	           	           	      0.267	      0.286	      0.568	      0.000	
 10/11-10:27	2461.000	2461.400	2459.000	2460.600	           4757	     72.000	           	           	   2461.206	   2452.906	   2441.415	           	           	      0.166	      0.300	      0.562	      0.000	
 10/11-10:28	2461.000	2461.600	2458.400	2458.600	           3219	     73.000	           	           	   2461.294	   2453.173	   2441.678	           	           	      0.087	      0.267	      0.545	      0.000	
 10/11-10:29	2458.000	2458.600	2456.000	2456.400	           5871	     74.000	           	           	   2461.293	   2453.376	   2441.925	           	           	     -0.001	      0.203	      0.510	      0.000	
