 09/16-10:35	2479.200	2481.000	2478.600	2479.800	           2072	     80.000	   2485.033	   2490.956	   2494.163	           	           	     -0.439	     -0.390	     -0.297	      0.000	
 09/16-10:36	2480.000	2480.600	2478.600	2478.600	           1107	     81.000	   2484.580	   2490.583	   2494.019	           	           	     -0.453	     -0.373	     -0.286	      0.000	
 09/16-10:37	2478.600	2481.400	2478.600	2479.000	           1794	     82.000	   2484.167	   2490.240	   2493.888	           	           	     -0.414	     -0.343	     -0.275	      0.000	
 09/16-10:38	2479.000	2481.000	2479.000	2480.600	           1253	     83.000	   2483.879	   2489.916	   2493.775	           	           	     -0.288	     -0.324	     -0.244	      0.000	
 09/16-10:39	2480.400	2481.000	2479.200	2480.800	           1044	     84.000	   2483.567	   2489.596	   2493.668	           	           	     -0.313	     -0.320	     -0.220	      0.000	
 09/16-10:40	2481.000	2481.200	2478.600	2480.200	           1697	     85.000	   2483.266	   2489.240	   2493.555	           	           	     -0.301	     -0.357	     -0.220	      0.000	
 09/16-10:41	2480.000	2481.400	2477.600	2479.200	           1925	     86.000	   2482.941	   2488.901	   2493.437	           	           	     -0.325	     -0.339	     -0.231	      0.000	
 09/16-10:42	2479.200	2480.000	2477.200	2478.000	           2169	     87.000	   2482.574	   2488.584	   2493.315	           	           	     -0.367	     -0.317	     -0.240	      0.000	
 09/16-10:43	2478.000	2478.600	2475.200	2476.800	           3087	     88.000	   2482.140	   2488.280	   2493.171	           	           	     -0.434	     -0.304	     -0.266	      0.000	
 09/16-10:44	2476.600	2477.800	2475.400	2476.000	           2068	     89.000	   2481.679	   2487.930	   2493.031	           	           	     -0.460	     -0.350	     -0.284	      0.000	
 09/16-10:45	2476.400	2476.600	2475.000	2476.600	           2375	     90.000	   2481.233	   2487.577	   2492.887	           	           	     -0.446	     -0.353	     -0.285	      0.000	
 09/16-10:46	2476.400	2480.600	2476.400	2480.000	           4141	     91.000	   2480.994	   2487.270	   2492.787	           	           	     -0.240	     -0.307	     -0.245	      0.000	
 09/16-10:47	2480.000	2480.600	2478.800	2479.800	           1895	     92.000	   2480.754	   2486.980	   2492.694	           	           	     -0.240	     -0.290	     -0.193	      0.000	
 09/16-10:48	2479.800	2480.400	2479.200	2479.400	           1142	     93.000	   2480.485	   2486.680	   2492.583	           	           	     -0.269	     -0.301	     -0.203	      0.000	
 09/16-10:49	2479.400	2480.000	2477.000	2477.400	           1737	     94.000	   2480.175	   2486.360	   2492.462	           	           	     -0.310	     -0.319	     -0.232	      0.000	
 09/16-10:50	2477.200	2483.200	2477.200	2483.200	           4130	     95.000	   2480.115	   2486.154	   2492.394	           	           	     -0.061	     -0.207	     -0.190	      0.000	
 09/16-10:51	2483.000	2485.000	2482.400	2483.400	           4817	     96.000	   2480.012	   2485.920	   2492.315	           	           	     -0.102	     -0.234	     -0.147	      0.000	
 09/16-10:52	2483.400	2484.000	2483.000	2483.600	           1622	     97.000	   2479.915	   2485.707	   2492.245	           	           	     -0.098	     -0.213	     -0.148	      0.000	
 09/16-10:53	2483.800	2484.200	2483.000	2483.200	           1684	     98.000	   2479.800	   2485.490	   2492.175	           	           	     -0.115	     -0.217	     -0.140	      0.000	
 09/16-10:54	2483.200	2483.400	2481.800	2482.400	           2080	     99.000	   2479.752	   2485.276	   2492.095	           	           	     -0.048	     -0.214	     -0.150	      0.000	
 09/16-10:55	2482.400	2484.000	2482.000	2482.000	           1614	    100.000	   2479.925	   2485.083	   2492.015	   2491.325	           	      0.173	     -0.193	     -0.160	      0.000	
 09/16-10:56	2482.000	2482.200	2481.000	2481.200	           1345	    101.000	   2480.033	   2484.870	   2491.938	   2491.262	           	      0.108	     -0.212	     -0.156	      0.000	
 09/16-10:57	2481.000	2481.800	2480.600	2481.200	           1072	    102.000	   2480.100	   2484.670	   2491.852	   2491.204	           	      0.067	     -0.200	     -0.163	      0.000	
 09/16-10:58	2481.400	2481.600	2478.800	2479.400	           2031	    103.000	   2480.160	   2484.427	   2491.750	   2491.140	           	      0.060	     -0.244	     -0.188	      0.000	
 09/16-10:59	2479.200	2479.800	2478.600	2479.200	           2109	    104.000	   2480.192	   2484.140	   2491.652	   2491.081	           	      0.031	     -0.287	     -0.200	      0.000	
 09/16-11:00	2479.200	2479.800	2478.400	2479.200	           1599	    105.000	   2480.181	   2483.847	   2491.543	   2491.027	           	     -0.010	     -0.293	     -0.207	      0.000	
 09/16-11:01	2479.400	2479.600	2477.800	2479.000	           2130	    106.000	   2480.060	   2483.554	   2491.427	   2490.972	           	     -0.121	     -0.293	     -0.225	      0.000	
 09/16-11:02	2479.000	2481.600	2478.600	2481.200	           2364	    107.000	   2480.033	   2483.290	   2491.328	   2490.929	           	     -0.027	     -0.264	     -0.215	      0.000	
 09/16-11:03	2481.200	2482.600	2479.400	2479.600	           2017	    108.000	   2479.973	   2483.000	   2491.210	   2490.891	           	     -0.061	     -0.291	     -0.217	      0.000	
 09/16-11:04	2479.600	2479.800	2477.800	2478.200	           2073	    109.000	   2479.942	   2482.707	   2491.090	   2490.856	           	     -0.031	     -0.292	     -0.238	      0.000	
 09/16-11:05	2478.000	2478.600	2476.000	2476.600	           2583	    110.000	   2479.833	   2482.433	   2490.948	   2490.819	           	     -0.108	     -0.274	     -0.262	      0.000	
 09/16-11:06	2476.600	2477.000	2471.600	2477.000	           7112	    111.000	   2479.779	   2482.180	   2490.810	   2490.785	           	     -0.054	     -0.254	     -0.280	      0.000	
 09/16-11:07	2476.600	2479.000	2476.600	2477.600	           3037	    112.000	   2479.733	   2481.950	   2490.668	   2490.759	           	     -0.046	     -0.230	     -0.280	      0.000	
 09/16-11:08	2477.800	2478.800	2477.400	2477.600	           1445	    113.000	   2479.633	   2481.756	   2490.528	   2490.715	           	     -0.100	     -0.194	     -0.282	      0.000	
 09/16-11:09	2477.600	2478.600	2477.000	2477.800	           1199	    114.000	   2479.533	   2481.550	   2490.383	   2490.665	           	     -0.100	     -0.206	     -0.285	      0.000	
 09/16-11:10	2478.000	2478.000	2475.600	2476.800	           1622	    115.000	   2479.421	   2481.343	   2490.237	   2490.612	           	     -0.113	     -0.207	     -0.291	      0.000	
 09/16-11:11	2476.800	2479.800	2476.800	2477.600	           2497	    116.000	   2479.367	   2481.154	   2490.098	   2490.563	           	     -0.054	     -0.190	     -0.285	      0.000	
 09/16-11:12	2478.000	2478.800	2476.200	2476.800	           1058	    117.000	   2479.325	   2480.949	   2489.948	   2490.518	           	     -0.042	     -0.204	     -0.289	      0.000	
 09/16-11:13	2477.000	2477.400	2475.000	2475.200	           1923	    118.000	   2479.275	   2480.707	   2489.769	   2490.467	           	     -0.050	     -0.242	     -0.330	      0.000	
 09/16-11:14	2475.000	2475.800	2472.600	2475.000	           3669	    119.000	   2479.242	   2480.460	   2489.587	   2490.412	           	     -0.033	     -0.247	     -0.361	      0.000	
 09/16-11:15	2475.200	2475.800	2473.800	2474.800	           1883	    120.000	   2479.179	   2480.206	   2489.400	   2490.357	           	     -0.063	     -0.254	     -0.369	      0.000	
 09/16-11:16	2474.600	2475.000	2472.800	2472.800	           2320	    121.000	   2478.940	   2479.967	   2489.147	   2490.299	           	     -0.240	     -0.240	     -0.440	      0.000	
 09/16-11:17	2472.800	2477.000	2471.000	2476.400	           4936	    122.000	   2478.827	   2479.791	   2488.923	   2490.252	           	     -0.113	     -0.176	     -0.476	      0.000	
 09/16-11:18	2476.800	2478.000	2476.600	2478.000	           2207	    123.000	   2478.781	   2479.633	   2488.704	   2490.207	           	     -0.046	     -0.157	     -0.443	      0.000	
 09/16-11:19	2477.800	2478.000	2476.000	2477.800	           1912	    124.000	   2478.792	   2479.483	   2488.477	   2490.159	           	      0.010	     -0.150	     -0.447	      0.000	
 09/16-11:20	2478.000	2478.200	2477.000	2477.800	           1224	    125.000	   2478.613	   2479.364	   2488.261	   2490.122	           	     -0.179	     -0.120	     -0.442	      0.000	
 09/16-11:21	2478.000	2478.400	2476.200	2478.400	           1515	    126.000	   2478.448	   2479.230	   2488.047	   2490.083	           	     -0.165	     -0.133	     -0.430	      0.000	
 09/16-11:22	2478.400	2481.000	2478.200	2481.000	           3325	    127.000	   2478.360	   2479.137	   2487.847	   2490.049	           	     -0.088	     -0.093	     -0.415	      0.000	
 09/16-11:23	2481.400	2482.000	2480.200	2480.600	           2788	    128.000	   2478.273	   2479.036	   2487.635	   2490.020	           	     -0.087	     -0.101	     -0.412	      0.000	
 09/16-11:24	2480.600	2481.600	2480.000	2480.400	           1822	    129.000	   2478.208	   2478.980	   2487.423	   2489.990	           	     -0.065	     -0.056	     -0.424	      0.000	
 09/16-11:25	2480.200	2481.600	2480.000	2480.800	           1446	    130.000	   2478.167	   2479.046	   2487.188	   2489.970	           	     -0.042	      0.066	     -0.447	      0.000	
