 08/19-09:36	2296.400	2302.000	2296.000	2301.800	           6678	     21.000	   2307.687	   2319.117	   2326.145	           	     -0.939	     -0.490	     -0.692	      0.000	     21.000	   2295.919	   2307.687	   2319.117	   2326.145	           	           	      0.000	     18.458	      0.000	           	      0.000	           	     -1.567	           	    -11.430	           	     -5.886	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:37	2301.400	2305.000	2301.400	2303.200	           6330	     22.000	   2306.793	   2318.646	   2325.832	           	     -0.894	     -0.470	     -0.627	      0.000	     22.000	   2297.281	   2306.793	   2318.646	   2325.832	           	           	      0.000	     19.039	      0.000	           	      0.000	           	     -1.442	           	    -11.854	           	     -3.593	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:38	2302.200	2304.600	2302.200	2303.800	           3983	     23.000	   2305.920	   2318.183	   2325.513	           	     -0.873	     -0.463	     -0.632	      0.000	     23.000	   2299.800	   2305.920	   2318.183	   2325.513	           	           	      0.000	     19.594	      0.000	           	      0.000	           	     -1.323	           	    -12.264	           	     -2.120	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:39	2303.600	2305.000	2302.000	2304.800	           3311	     24.000	   2305.079	   2317.740	   2325.217	           	     -0.841	     -0.444	     -0.615	      0.000	     24.000	   2302.000	   2305.079	   2317.740	   2325.217	           	           	      0.000	     20.137	      0.000	           	      0.000	           	     -1.242	           	    -12.660	           	     -0.279	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:40	2304.800	2304.800	2299.400	2300.000	           4333	     25.000	   2304.079	   2317.220	   2324.886	           	     -1.000	     -0.520	     -0.627	      0.000	     25.000	   2302.719	   2304.079	   2317.220	   2324.886	           	           	      0.000	     20.807	      0.000	           	      0.000	           	     -1.259	           	    -13.141	           	     -4.079	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:41	2300.000	2301.800	2299.400	2300.200	           2336	     26.000	   2303.086	   2316.707	   2324.558	           	     -0.993	     -0.513	     -0.658	      0.000	     26.000	   2302.400	   2303.086	   2316.707	   2324.558	           	           	      0.000	     21.472	      0.000	           	      0.000	           	     -1.273	           	    -13.620	           	     -2.886	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:42	2300.400	2300.400	2296.800	2299.000	           3285	     27.000	   2302.053	   2316.170	   2324.233	           	     -1.033	     -0.536	     -0.653	      0.000	     27.000	   2301.563	   2302.053	   2316.170	   2324.233	           	           	      0.000	     22.180	      0.000	           	      0.000	           	     -1.280	           	    -14.117	           	     -3.053	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:43	2299.000	2299.200	2296.400	2298.600	           2063	     28.000	   2301.006	   2315.624	   2323.917	           	     -1.047	     -0.547	     -0.642	      0.000	     28.000	   2300.519	   2301.006	   2315.624	   2323.917	           	           	      0.000	     22.910	      0.000	           	      0.000	           	     -1.300	           	    -14.617	           	     -2.406	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:44	2298.400	2301.200	2296.200	2300.200	           2947	     29.000	   2300.012	   2315.110	   2323.658	           	     -0.994	     -0.514	     -0.575	      0.000	     29.000	   2299.600	   2300.012	   2315.110	   2323.658	           	           	      0.000	     23.646	      0.000	           	      0.000	           	     -1.228	           	    -15.097	           	      0.188	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
 08/19-09:45	2300.800	2306.400	2300.000	2304.400	           6923	     30.000	   2299.159	   2314.670	   2323.503	           	     -0.853	     -0.440	     -0.414	      0.000	     30.000	   2300.481	   2299.159	   2314.670	   2323.503	           	           	      0.000	     24.344	      0.000	           	      0.000	           	     -1.055	           	    -15.510	           	      5.240	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	      1.000	
