 05/22-09:48	2613.600	2614.200	2611.200	2612.600	           4570	   2603.096	   2602.633	   2598.807	   2596.267	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:49	2612.200	2612.400	2609.600	2609.600	           4441	   2603.288	   2602.817	   2598.913	   2596.308	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:50	2609.400	2611.200	2608.000	2608.000	           4418	   2603.421	   2602.983	   2599.010	   2596.349	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:51	2608.200	2608.200	2605.200	2605.800	           7286	   2603.475	   2603.110	   2599.094	   2596.381	   2626.000	   2610.000	   2576.000	   2560.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:52	2606.000	2606.800	2605.200	2605.800	           3194	   2603.613	   2603.219	   2599.181	   2596.414	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:53	2605.400	2607.000	2605.200	2606.200	           2407	   2603.742	   2603.337	   2599.273	   2596.455	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:54	2606.200	2607.000	2601.800	2603.200	           5702	   2603.754	   2603.415	   2599.342	   2596.484	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      1.000	     10.000	      0.000	      0.000	      0.000	      1.000	
 05/22-09:55	2603.400	2604.800	2602.800	2602.800	           2346	   2603.721	   2603.473	   2599.395	   2596.521	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      1.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:56	2602.800	2603.200	2601.200	2602.600	           3685	   2603.721	   2603.500	   2599.438	   2596.559	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      1.000	      1.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
 05/22-09:57	2602.600	2603.000	2600.600	2600.600	           2879	   2603.683	   2603.481	   2599.464	   2596.587	   2626.000	   2610.000	   2576.000	   2560.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	      0.000	      1.000	      0.000	     10.000	      0.000	      0.000	      0.000	      0.000	
