 06/04-10:22	2573.600	2574.400	2571.800	2574.200	           1894	     67.000	           	           	   2574.200	           	   2575.360	   2579.344	   2587.550	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:23	2574.200	2574.200	2572.000	2572.600	           1416	     68.000	           	           	   2574.200	           	   2575.306	   2579.006	   2587.343	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:24	2572.800	2573.200	2571.400	2572.400	           1536	     69.000	           	           	   2574.200	           	   2575.240	   2578.654	   2587.133	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:25	2572.400	2575.000	2570.800	2574.600	           3482	     70.000	           	           	   2574.200	           	   2575.285	   2578.373	   2586.941	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:26	2574.400	2574.800	2572.800	2573.400	           1930	     71.000	           	           	   2574.200	           	   2575.254	   2578.070	   2586.770	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:27	2573.400	2573.800	2571.400	2572.000	           1651	     72.000	           	           	   2574.200	           	   2575.100	   2577.820	   2586.580	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:28	2572.000	2572.000	2568.600	2571.600	           3838	     73.000	           	           	   2574.200	           	   2574.958	   2577.616	   2586.390	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:29	2571.400	2572.000	2570.400	2571.200	           1392	     74.000	           	           	   2574.200	           	   2574.754	   2577.397	   2586.194	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:30	2571.400	2572.000	2569.800	2570.000	           1983	     75.000	           	           	   2574.200	           	   2574.454	   2577.160	   2585.993	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 06/04-10:31	2569.800	2573.600	2569.800	2573.600	           1959	     76.000	           	           	   2574.200	           	   2574.260	   2576.993	   2585.842	           	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
