 06/13-10:12	2387.600	2390.600	2387.600	2390.400	           1291	   2392.642	   2415.625	   2447.040	   2479.053	
 06/13-10:13	2390.600	2392.800	2389.600	2391.000	           2551	   2391.750	   2414.146	   2446.327	   2478.492	
 06/13-10:14	2391.000	2391.000	2387.000	2387.200	           2131	   2390.775	   2412.646	   2445.587	   2477.915	
 06/13-10:15	2387.600	2388.600	2386.600	2388.200	           1906	   2389.900	   2411.175	   2444.848	   2477.343	
 06/13-10:16	2388.200	2390.600	2388.000	2389.800	           1535	   2389.267	   2410.175	   2444.123	   2476.770	
 06/13-10:17	2389.800	2391.400	2388.400	2390.600	           1696	   2388.933	   2409.171	   2443.435	   2476.201	
 06/13-10:18	2390.800	2390.800	2388.200	2390.400	           1176	   2388.575	   2408.229	   2442.748	   2475.630	
 06/13-10:19	2390.200	2392.000	2389.200	2392.000	           1331	   2388.183	   2407.308	   2442.102	   2475.073	
 06/13-10:20	2392.000	2395.200	2388.800	2389.400	           4168	   2387.825	   2406.321	   2441.421	   2474.502	
 06/13-10:21	2389.400	2391.600	2389.400	2391.400	           1437	   2387.983	   2405.392	   2440.746	   2473.934	
 06/13-10:22	2391.400	2391.400	2389.000	2389.200	           1210	   2388.283	   2404.462	   2440.048	   2473.351	
 06/13-10:23	2389.400	2390.200	2388.200	2389.000	           1659	   2388.683	   2403.571	   2439.340	   2472.766	
 06/13-10:24	2389.200	2389.400	2387.200	2387.400	           1882	   2388.775	   2402.642	   2438.600	   2472.175	
 06/13-10:25	2387.600	2389.200	2386.000	2388.400	           2370	   2388.800	   2401.779	   2437.860	   2471.591	
 06/13-10:26	2388.400	2388.600	2386.600	2387.000	            958	   2388.775	   2401.000	   2437.115	   2471.005	
 06/13-10:27	2387.200	2388.800	2385.800	2388.800	           1535	   2388.842	   2400.271	   2436.425	   2470.428	
 06/13-10:28	2388.600	2388.800	2386.400	2387.400	           1050	   2388.783	   2399.496	   2435.700	   2469.847	
 06/13-10:29	2387.600	2389.800	2387.000	2389.200	           1109	   2388.700	   2398.717	   2434.981	   2469.274	
 06/13-10:30	2389.000	2391.200	2388.400	2389.800	           1741	   2388.808	   2397.942	   2434.256	   2468.703	
 06/13-10:31	2389.800	2390.000	2388.000	2389.800	           1134	   2388.900	   2397.175	   2433.525	   2468.136	
 06/13-10:32	2389.800	2390.200	2387.000	2387.600	           1741	   2388.900	   2396.442	   2432.802	   2467.563	
 06/13-10:33	2387.600	2389.600	2387.000	2389.400	           1161	   2389.092	   2395.775	   2432.079	   2466.999	
 06/13-10:34	2389.800	2389.800	2388.400	2389.400	            894	   2389.200	   2395.092	   2431.356	   2466.438	
 06/13-10:35	2389.400	2390.400	2389.000	2390.400	           1138	   2389.367	   2394.571	   2430.627	   2465.878	
 06/13-10:36	2390.400	2392.600	2388.400	2389.000	           2594	   2389.317	   2394.038	   2429.892	   2465.311	
 06/13-10:37	2389.000	2389.200	2387.200	2389.000	           2523	   2389.242	   2393.471	   2429.144	   2464.751	
 06/13-10:38	2389.200	2389.400	2387.400	2388.200	           1354	   2389.100	   2392.925	   2428.421	   2464.189	
 06/13-10:39	2388.200	2388.400	2386.600	2386.800	           1854	   2389.058	   2392.354	   2427.675	   2463.613	
 06/13-10:40	2387.000	2388.200	2386.000	2386.800	           1685	   2389.025	   2391.833	   2426.902	   2463.032	
 06/13-10:41	2387.000	2387.000	2381.400	2382.200	           4964	   2388.842	   2391.196	   2426.117	   2462.426	
 06/13-10:42	2382.600	2382.800	2378.600	2381.200	           4091	   2388.533	   2390.587	   2425.302	   2461.823	
 06/13-10:43	2381.400	2382.000	2379.400	2380.000	           1968	   2388.167	   2389.958	   2424.471	   2461.227	
 06/13-10:44	2379.800	2381.800	2379.600	2380.600	           1759	   2387.942	   2389.358	   2423.631	   2460.643	
 06/13-10:45	2380.600	2381.200	2379.400	2379.800	           1406	   2387.667	   2388.783	   2422.785	   2460.052	
 06/13-10:46	2379.600	2385.800	2379.400	2385.800	           2678	   2387.533	   2388.400	   2421.975	   2459.491	
 06/13-10:47	2386.000	2389.000	2385.000	2387.000	           3829	   2387.417	   2388.175	   2421.183	   2458.935	
 06/13-10:48	2387.000	2388.200	2386.800	2387.600	           1295	   2387.317	   2387.946	   2420.402	   2458.382	
 06/13-10:49	2387.600	2388.400	2386.400	2386.600	           1398	   2387.142	   2387.663	   2419.608	   2457.824	
 06/13-10:50	2387.000	2387.800	2386.600	2387.600	            736	   2387.083	   2387.454	   2418.810	   2457.273	
 06/13-10:51	2387.400	2391.000	2386.800	2391.000	           2824	   2387.067	   2387.525	   2418.025	   2456.740	
 06/13-10:52	2391.200	2392.400	2389.400	2391.200	           2654	   2387.133	   2387.708	   2417.256	   2456.199	
 06/13-10:53	2391.200	2392.000	2390.200	2391.600	           1871	   2387.217	   2387.950	   2416.500	   2455.661	
 06/13-10:54	2391.800	2395.000	2391.800	2395.000	           3911	   2387.475	   2388.125	   2415.775	   2455.142	
