 07/15-09:44	2292.400	2292.800	2289.000	2289.400	           2290	     29.000	   2292.337	   2279.656	   2279.792	   2296.992	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:45	2289.800	2290.600	2283.600	2285.000	           5848	     30.000	   2292.604	   2279.919	   2279.612	   2296.877	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 07/15-09:46	2285.200	2288.600	2285.200	2288.400	           2601	     31.000	   2292.454	   2280.254	   2279.460	   2296.772	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:47	2288.400	2289.400	2286.000	2286.400	           1990	     32.000	   2292.300	   2280.515	   2279.278	   2296.658	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:48	2286.600	2290.400	2285.200	2289.000	           2831	     33.000	   2292.279	   2280.823	   2279.114	   2296.546	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:49	2289.000	2293.200	2289.000	2290.400	           3054	     34.000	   2292.212	   2281.223	   2278.965	   2296.441	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:50	2290.400	2290.800	2286.600	2286.600	           1824	     35.000	   2292.108	   2281.550	   2278.789	   2296.319	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:51	2286.600	2288.000	2283.000	2284.800	           4258	     36.000	   2292.000	   2281.856	   2278.661	   2296.181	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 07/15-09:52	2284.800	2286.000	2283.200	2283.400	           2458	     37.000	   2291.837	   2282.113	   2278.508	   2296.023	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:53	2283.600	2285.000	2281.200	2283.000	           3288	     38.000	   2291.704	   2282.375	   2278.411	   2295.860	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:54	2282.000	2283.000	2279.000	2279.000	           4322	     39.000	   2291.371	   2282.608	   2278.340	   2295.684	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:55	2278.600	2282.600	2278.600	2282.200	           3583	     40.000	   2291.113	   2282.877	   2278.327	   2295.529	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:56	2282.400	2283.800	2280.000	2282.000	           2832	     41.000	   2290.733	   2283.150	   2278.286	   2295.371	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:57	2282.400	2282.800	2279.000	2280.000	           2025	     42.000	   2290.313	   2283.387	   2278.225	   2295.221	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:58	2279.800	2282.200	2279.800	2281.600	           1797	     43.000	   2289.813	   2283.688	   2278.158	   2295.081	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-09:59	2281.600	2285.600	2281.200	2285.200	           3817	     44.000	   2289.517	   2284.142	   2278.117	   2294.958	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:00	2285.200	2286.800	2282.800	2282.800	           2919	     45.000	   2289.233	   2284.523	   2278.077	   2294.827	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:01	2282.800	2285.000	2280.400	2285.000	           2622	     46.000	   2289.063	   2284.927	   2278.070	   2294.712	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:02	2285.200	2289.000	2285.000	2287.800	           3924	     47.000	   2288.992	   2285.350	   2278.075	   2294.610	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:03	2287.600	2288.200	2286.400	2286.800	           2122	     48.000	   2288.883	   2285.733	   2278.146	   2294.501	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:04	2286.800	2287.000	2282.000	2282.600	           2971	     49.000	   2288.637	   2286.058	   2278.168	   2294.383	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:05	2282.800	2283.400	2269.000	2269.400	          10794	     50.000	   2287.663	   2286.125	   2278.166	   2294.205	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:06	2268.800	2273.200	2268.800	2272.800	           5235	     51.000	   2286.746	   2286.229	   2278.239	   2294.040	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:07	2273.000	2273.400	2266.400	2272.600	           5728	     52.000	   2285.721	   2286.288	   2278.261	   2293.878	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 07/15-10:08	2272.800	2274.800	2271.200	2274.000	           3827	     53.000	   2284.654	   2286.367	   2278.297	   2293.719	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:09	2274.400	2274.800	2271.400	2273.600	           2253	     54.000	   2283.800	   2286.444	   2278.324	   2293.558	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:10	2273.800	2278.800	2273.200	2276.800	           5034	     55.000	   2283.292	   2286.579	   2278.380	   2293.421	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:11	2277.000	2279.400	2276.400	2277.000	           2639	     56.000	   2282.758	   2286.667	   2278.425	   2293.285	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:12	2277.400	2279.000	2276.800	2278.000	           1449	     57.000	   2282.258	   2286.744	   2278.530	   2293.161	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 07/15-10:13	2277.800	2280.000	2276.400	2280.000	           2450	     58.000	   2281.854	   2286.833	   2278.631	   2293.033	           	      0.000	      1.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
