 08/27-10:30	2335.000	2335.800	2334.400	2334.800	           2097	     75.000	   2340.273	   2338.917	   2338.310	           	     -0.201	     -0.023	     -0.069	      0.000	
 08/27-10:31	2334.800	2335.600	2333.400	2335.400	           2527	     76.000	   2340.121	   2338.920	   2338.280	           	     -0.152	      0.004	     -0.075	      0.000	
 08/27-10:32	2335.400	2335.600	2333.800	2334.600	           2781	     77.000	   2339.886	   2338.853	   2338.258	           	     -0.234	     -0.067	     -0.052	      0.000	
 08/27-10:33	2335.200	2335.200	2334.000	2334.600	           1796	     78.000	   2339.641	   2338.807	   2338.247	           	     -0.246	     -0.046	     -0.033	      0.000	
 08/27-10:34	2334.400	2335.600	2334.200	2335.400	           2287	     79.000	   2339.473	   2338.746	   2338.261	           	     -0.168	     -0.061	      0.003	      0.000	
 08/27-10:35	2335.600	2335.800	2334.600	2334.800	           1840	     80.000	   2339.333	   2338.677	   2338.283	           	     -0.140	     -0.070	      0.037	      0.000	
 08/27-10:36	2334.800	2335.200	2334.000	2334.800	           1628	     81.000	   2339.221	   2338.607	   2338.295	           	     -0.112	     -0.070	      0.034	      0.000	
 08/27-10:37	2334.800	2335.000	2331.600	2333.200	           4961	     82.000	   2339.013	   2338.570	   2338.282	           	     -0.208	     -0.037	     -0.002	      0.000	
 08/27-10:38	2333.200	2335.400	2332.400	2334.600	           3311	     83.000	   2338.860	   2338.510	   2338.292	           	     -0.153	     -0.059	     -0.003	      0.000	
 08/27-10:39	2334.800	2336.000	2334.400	2335.400	           2934	     84.000	   2338.653	   2338.460	   2338.305	           	     -0.207	     -0.051	      0.023	      0.000	
 08/27-10:40	2335.400	2335.600	2334.200	2334.200	           1699	     85.000	   2338.359	   2338.406	   2338.277	           	     -0.294	     -0.054	     -0.015	      0.000	
 08/27-10:41	2334.200	2335.200	2331.600	2332.200	           2938	     86.000	   2338.006	   2338.343	   2338.203	           	     -0.353	     -0.063	     -0.102	      0.000	
 08/27-10:42	2332.400	2333.400	2331.200	2331.200	           3141	     87.000	   2337.607	   2338.263	   2338.130	           	     -0.399	     -0.079	     -0.146	      0.000	
 08/27-10:43	2331.200	2331.800	2327.000	2327.800	           8927	     88.000	   2337.113	   2338.140	   2338.031	           	     -0.495	     -0.124	     -0.172	      0.000	
 08/27-10:44	2328.000	2328.400	2325.600	2326.800	           4462	     89.000	   2336.573	   2338.023	   2337.963	           	     -0.540	     -0.117	     -0.167	      0.000	
 08/27-10:45	2326.800	2329.400	2326.600	2326.800	           5222	     90.000	   2335.967	   2337.953	   2337.887	           	     -0.606	     -0.070	     -0.145	      0.000	
 08/27-10:46	2327.600	2329.400	2327.400	2328.000	           2654	     91.000	   2335.487	   2337.893	   2337.792	           	     -0.480	     -0.060	     -0.172	      0.000	
 08/27-10:47	2328.200	2329.600	2327.800	2329.400	           2098	     92.000	   2335.099	   2337.833	   2337.723	           	     -0.388	     -0.061	     -0.164	      0.000	
 08/27-10:48	2329.400	2330.400	2329.000	2330.000	           2966	     93.000	   2334.719	   2337.776	   2337.643	           	     -0.380	     -0.057	     -0.148	      0.000	
 08/27-10:49	2330.000	2332.000	2329.600	2331.200	           3400	     94.000	   2334.387	   2337.720	   2337.577	           	     -0.331	     -0.056	     -0.146	      0.000	
 08/27-10:50	2331.400	2333.800	2331.200	2332.600	           3422	     95.000	   2334.100	   2337.660	   2337.518	           	     -0.287	     -0.060	     -0.125	      0.000	
 08/27-10:51	2332.800	2334.200	2332.400	2334.200	           2541	     96.000	   2333.846	   2337.593	   2337.487	           	     -0.254	     -0.067	     -0.090	      0.000	
 08/27-10:52	2333.800	2334.400	2332.400	2333.000	           2037	     97.000	   2333.546	   2337.503	   2337.440	           	     -0.300	     -0.090	     -0.078	      0.000	
 08/27-10:53	2333.200	2334.800	2333.200	2334.600	           2739	     98.000	   2333.360	   2337.423	   2337.398	           	     -0.186	     -0.080	     -0.088	      0.000	
 08/27-10:54	2334.600	2335.000	2333.200	2333.400	           2354	     99.000	   2333.113	   2337.316	   2337.356	           	     -0.248	     -0.107	     -0.083	      0.000	
 08/27-10:55	2333.400	2334.600	2333.200	2333.800	           1766	    100.000	   2332.953	   2337.153	   2337.318	   2333.957	     -0.159	     -0.163	     -0.080	      0.000	
 08/27-10:56	2334.000	2334.200	2332.400	2333.600	           2408	    101.000	   2332.841	   2337.004	   2337.280	   2333.965	     -0.113	     -0.149	     -0.076	      0.000	
 08/27-10:57	2333.800	2334.800	2333.600	2334.800	           1911	    102.000	   2332.841	   2336.891	   2337.250	   2333.991	      0.000	     -0.113	     -0.068	      0.000	
 08/27-10:58	2334.800	2336.000	2333.800	2335.000	           2971	    103.000	   2332.841	   2336.774	   2337.222	   2334.032	      0.000	     -0.117	     -0.058	      0.000	
 08/27-10:59	2335.200	2335.200	2333.600	2334.800	           1403	    104.000	   2332.832	   2336.653	   2337.185	   2334.072	     -0.008	     -0.121	     -0.065	      0.000	
 08/27-11:00	2334.600	2335.200	2334.200	2334.200	           1228	    105.000	   2332.815	   2336.544	   2337.135	   2334.110	     -0.018	     -0.109	     -0.087	      0.000	
 08/27-11:01	2334.000	2335.000	2332.600	2333.800	           2080	    106.000	   2332.758	   2336.440	   2337.078	   2334.164	     -0.056	     -0.104	     -0.107	      0.000	
