 09/18-10:08	2428.800	2431.800	2428.400	2431.800	            532	     53.000	           	           	   2434.026	   2435.863	   2437.855	           	           	     -0.115	     -0.091	     -0.362	      0.000	
 09/18-10:09	2431.600	2433.600	2431.400	2432.600	            616	     54.000	           	           	   2433.879	   2435.767	   2437.695	           	           	     -0.147	     -0.096	     -0.324	      0.000	
 09/18-10:10	2432.800	2433.200	2429.400	2430.200	            948	     55.000	           	           	   2433.586	   2435.624	   2437.528	           	           	     -0.293	     -0.143	     -0.327	      0.000	
 09/18-10:11	2430.600	2432.000	2430.400	2432.000	            337	     56.000	           	           	   2433.367	   2435.483	   2437.392	           	           	     -0.220	     -0.140	     -0.303	      0.000	
 09/18-10:12	2432.000	2432.800	2431.200	2431.800	            334	     57.000	           	           	   2433.153	   2435.363	   2437.248	           	           	     -0.214	     -0.120	     -0.280	      0.000	
 09/18-10:13	2431.400	2431.800	2430.400	2430.800	            456	     58.000	           	           	   2432.880	   2435.217	   2437.110	           	           	     -0.273	     -0.146	     -0.281	      0.000	
 09/18-10:14	2430.800	2432.000	2430.600	2431.000	            382	     59.000	           	           	   2432.614	   2435.057	   2436.968	           	           	     -0.267	     -0.160	     -0.280	      0.000	
 09/18-10:15	2431.200	2431.200	2429.200	2429.200	            489	     60.000	           	           	   2432.306	   2434.870	   2436.803	           	           	     -0.307	     -0.187	     -0.307	      0.000	
 09/18-10:16	2429.200	2430.000	2427.200	2427.200	           1177	     61.000	           	           	   2431.967	   2434.633	   2436.637	           	           	     -0.340	     -0.237	     -0.332	      0.000	
 09/18-10:17	2427.000	2428.000	2426.000	2427.800	           1229	     62.000	           	           	   2431.586	   2434.410	   2436.477	           	           	     -0.380	     -0.223	     -0.327	      0.000	
 09/18-10:18	2427.600	2428.000	2425.400	2426.600	            866	     63.000	           	           	   2431.280	   2434.173	   2436.320	           	           	     -0.306	     -0.237	     -0.317	      0.000	
 09/18-10:19	2426.800	2427.400	2426.000	2426.400	            379	     64.000	           	           	   2430.967	   2433.946	   2436.153	           	           	     -0.314	     -0.227	     -0.323	      0.000	
 09/18-10:20	2426.600	2427.600	2426.200	2427.400	            424	     65.000	           	           	   2430.715	   2433.757	   2435.987	           	           	     -0.252	     -0.189	     -0.333	      0.000	
 09/18-10:21	2427.800	2428.400	2427.200	2427.800	            422	     66.000	           	           	   2430.446	   2433.576	   2435.845	           	           	     -0.269	     -0.181	     -0.309	      0.000	
 09/18-10:22	2427.800	2428.000	2427.200	2427.800	            235	     67.000	           	           	   2430.206	   2433.423	   2435.708	           	           	     -0.240	     -0.153	     -0.279	      0.000	
 09/18-10:23	2428.000	2430.600	2427.800	2430.600	           1134	     68.000	           	           	   2430.074	   2433.313	   2435.595	           	           	     -0.132	     -0.109	     -0.250	      0.000	
 09/18-10:24	2430.400	2430.800	2428.200	2428.400	            576	     69.000	           	           	   2429.913	   2433.167	   2435.483	           	           	     -0.161	     -0.147	     -0.225	      0.000	
 09/18-10:25	2428.400	2429.400	2427.600	2427.600	            289	     70.000	           	           	   2429.727	   2433.027	   2435.365	           	           	     -0.186	     -0.140	     -0.230	      0.000	
 09/18-10:26	2427.400	2427.800	2425.800	2426.600	            640	     71.000	           	           	   2429.526	   2432.840	   2435.241	           	           	     -0.201	     -0.188	     -0.242	      0.000	
 09/18-10:27	2426.200	2428.200	2426.200	2428.000	            513	     72.000	           	           	   2429.426	   2432.703	   2435.128	           	           	     -0.100	     -0.136	     -0.237	      0.000	
 09/18-10:28	2427.800	2429.000	2426.000	2426.200	            723	     73.000	           	           	   2429.341	   2432.534	   2434.985	           	           	     -0.085	     -0.169	     -0.256	      0.000	
 09/18-10:29	2426.200	2427.600	2426.000	2427.600	            655	     74.000	           	           	   2429.193	   2432.410	   2434.840	           	           	     -0.148	     -0.124	     -0.288	      0.000	
 09/18-10:30	2428.000	2430.000	2427.400	2430.000	            877	     75.000	           	           	   2429.233	   2432.323	   2434.703	           	           	      0.041	     -0.087	     -0.282	      0.000	
 09/18-10:31	2430.000	2430.000	2426.800	2428.200	            719	     76.000	           	           	   2429.146	   2432.187	   2434.560	           	           	     -0.088	     -0.136	     -0.280	      0.000	
 09/18-10:32	2427.800	2428.800	2427.600	2428.200	            284	     77.000	           	           	   2429.068	   2432.047	   2434.454	           	           	     -0.078	     -0.140	     -0.250	      0.000	
 09/18-10:33	2428.200	2428.800	2427.600	2428.800	            398	     78.000	           	           	   2429.046	   2431.916	   2434.340	           	           	     -0.022	     -0.131	     -0.220	      0.000	
 09/18-10:34	2428.800	2430.000	2428.200	2430.000	            519	     79.000	           	           	   2429.012	   2431.836	   2434.248	           	           	     -0.033	     -0.080	     -0.205	      0.000	
 09/18-10:35	2430.000	2430.200	2428.400	2430.200	            414	     80.000	           	           	   2429.007	   2431.741	   2434.170	           	           	     -0.005	     -0.096	     -0.169	      0.000	
 09/18-10:36	2430.000	2431.000	2429.600	2430.000	            693	     81.000	           	           	   2428.994	   2431.660	   2434.087	           	           	     -0.014	     -0.080	     -0.161	      0.000	
 09/18-10:37	2430.000	2432.000	2429.800	2431.600	            785	     82.000	           	           	   2429.079	   2431.610	   2434.025	           	           	      0.085	     -0.051	     -0.146	      0.000	
 09/18-10:38	2431.400	2434.600	2431.200	2433.000	           1261	     83.000	           	           	   2429.120	   2431.573	   2433.985	           	           	      0.041	     -0.037	     -0.102	      0.000	
 09/18-10:39	2433.200	2434.000	2432.400	2433.800	            809	     84.000	           	           	   2429.160	   2431.520	   2433.958	           	           	      0.041	     -0.053	     -0.067	      0.000	
 09/18-10:40	2434.000	2436.600	2434.000	2436.600	           1613	     85.000	           	           	   2429.374	   2431.480	   2433.977	           	           	      0.214	     -0.040	     -0.008	      0.000	
 09/18-10:41	2436.400	2436.600	2434.200	2434.600	            773	     86.000	           	           	   2429.459	   2431.413	   2433.963	           	           	      0.085	     -0.067	      0.005	      0.000	
 09/18-10:42	2434.800	2435.000	2433.400	2433.800	            676	     87.000	           	           	   2429.527	   2431.340	   2433.937	           	           	      0.068	     -0.073	     -0.040	      0.000	
 09/18-10:43	2434.000	2435.400	2434.000	2434.200	            812	     88.000	           	           	   2429.640	   2431.260	   2433.930	           	           	      0.113	     -0.080	     -0.033	      0.000	
